Generation,Worker_Index,Start_Times,Shift_Lengths
0,0,"['X', 16, 16, 16, 16, 16, 'X']","[0, 6, 6, 6, 6, 6, 0]"
0,1,"[19, 19, 'X', 'X', 19, 19, 19]","[6, 6, 0, 0, 6, 6, 6]"
0,2,"[7, 7, 'X', 'X', 7, 7, 7]","[8, 8, 0, 0, 8, 8, 8]"
0,3,"['X', 23, 23, 23, 23, 23, 'X']","[0, 11, 11, 11, 11, 11, 0]"
0,4,"['X', 'X', 17, 17, 17, 17, 17]","[0, 0, 7, 7, 7, 7, 7]"
0,5,"[15, 15, 'X', 'X', 15, 15, 15]","[12, 12, 0, 0, 12, 12, 12]"
0,6,"[14, 14, 'X', 'X', 14, 14, 14]","[4, 4, 0, 0, 4, 4, 4]"
0,7,"['X', 15, 15, 15, 15, 15, 'X']","[0, 10, 10, 10, 10, 10, 0]"
0,8,"['X', 'X', 14, 14, 14, 14, 14]","[0, 0, 5, 5, 5, 5, 5]"
0,9,"[8, 8, 8, 'X', 'X', 8, 8]","[10, 10, 10, 0, 0, 10, 10]"
0,10,"['X', 16, 16, 16, 16, 16, 'X']","[0, 11, 11, 11, 11, 11, 0]"
0,11,"['X', 'X', 12, 12, 12, 12, 12]","[0, 0, 7, 7, 7, 7, 7]"
0,12,"['X', 11, 11, 11, 11, 11, 'X']","[0, 10, 10, 10, 10, 10, 0]"
0,13,"[2, 2, 2, 'X', 'X', 2, 2]","[12, 12, 12, 0, 0, 12, 12]"
0,14,"[7, 7, 7, 'X', 'X', 7, 7]","[6, 6, 6, 0, 0, 6, 6]"
0,15,"['X', 12, 12, 12, 12, 12, 'X']","[0, 12, 12, 12, 12, 12, 0]"
0,16,"['X', 2, 2, 2, 2, 2, 'X']","[0, 6, 6, 6, 6, 6, 0]"
0,17,"[8, 8, 8, 8, 'X', 'X', 8]","[6, 6, 6, 6, 0, 0, 6]"
0,18,"['X', 11, 11, 11, 11, 11, 'X']","[0, 11, 11, 11, 11, 11, 0]"
0,19,"[2, 2, 'X', 'X', 2, 2, 2]","[10, 10, 0, 0, 10, 10, 10]"
0,20,"['X', 3, 3, 3, 3, 3, 'X']","[0, 12, 12, 12, 12, 12, 0]"
0,21,"[9, 9, 9, 'X', 'X', 9, 9]","[6, 6, 6, 0, 0, 6, 6]"
0,22,"[1, 1, 'X', 'X', 1, 1, 1]","[5, 5, 0, 0, 5, 5, 5]"
0,23,"[9, 9, 9, 'X', 'X', 9, 9]","[6, 6, 6, 0, 0, 6, 6]"
0,24,"[15, 15, 15, 'X', 'X', 15, 15]","[6, 6, 6, 0, 0, 6, 6]"
0,25,"['X', 10, 10, 10, 10, 10, 'X']","[0, 4, 4, 4, 4, 4, 0]"
0,26,"[12, 12, 12, 12, 'X', 'X', 12]","[9, 9, 9, 9, 0, 0, 9]"
0,27,"[18, 18, 18, 18, 'X', 'X', 18]","[10, 10, 10, 10, 0, 0, 10]"
0,28,"[19, 'X', 'X', 19, 19, 19, 19]","[10, 0, 0, 10, 10, 10, 10]"
0,29,"[2, 2, 'X', 'X', 2, 2, 2]","[11, 11, 0, 0, 11, 11, 11]"
0,30,"[15, 'X', 'X', 15, 15, 15, 15]","[9, 0, 0, 9, 9, 9, 9]"
0,31,"[2, 2, 2, 'X', 'X', 2, 2]","[6, 6, 6, 0, 0, 6, 6]"
0,32,"[19, 19, 19, 19, 'X', 'X', 19]","[7, 7, 7, 7, 0, 0, 7]"
0,33,"[10, 10, 'X', 'X', 10, 10, 10]","[11, 11, 0, 0, 11, 11, 11]"
0,34,"[19, 19, 19, 19, 'X', 'X', 19]","[4, 4, 4, 4, 0, 0, 4]"
1,0,"['X', 16, 16, 16, 16, 16, 'X']","[0, 6, 6, 6, 6, 6, 0]"
1,1,"[19, 19, 'X', 'X', 19, 19, 19]","[6, 6, 0, 0, 6, 6, 6]"
1,2,"[6, 6, 6, 6, 6, 'X', 'X']","[8, 8, 8, 8, 8, 0, 0]"
1,3,"[21, 21, 'X', 'X', 21, 21, 21]","[12, 12, 0, 0, 12, 12, 12]"
