call_id,date,daily_caller,call_started,call_answered,call_ended,service_length,meets_standard
1,1/1/2021,1,8:00:00 AM,8:00:00 AM,8:14:22 AM,863,TRUE
2,1/1/2021,2,8:02:42 AM,8:02:42 AM,8:07:31 AM,289,TRUE
3,1/1/2021,3,8:08:24 AM,8:08:24 AM,8:10:13 AM,108,TRUE
4,1/1/2021,4,8:09:37 AM,8:09:37 AM,8:13:45 AM,247,TRUE
5,1/1/2021,5,8:11:10 AM,8:11:10 AM,8:15:28 AM,258,TRUE
6,1/1/2021,6,8:22:33 AM,8:22:33 AM,8:28:13 AM,340,TRUE
7,1/1/2021,7,8:23:18 AM,8:23:18 AM,8:34:14 AM,656,TRUE
8,1/1/2021,8,8:23:57 AM,8:23:57 AM,8:29:37 AM,341,TRUE
9,1/1/2021,9,8:25:08 AM,8:25:08 AM,8:25:32 AM,23,TRUE
10,1/1/2021,10,8:27:58 AM,8:27:58 AM,8:37:40 AM,582,TRUE
11,1/1/2021,11,8:28:13 AM,8:28:13 AM,8:30:31 AM,138,TRUE
12,1/1/2021,12,8:28:25 AM,8:29:37 AM,8:33:30 AM,232,FALSE
13,1/1/2021,13,8:36:04 AM,8:36:04 AM,8:46:25 AM,620,TRUE
14,1/1/2021,14,8:36:13 AM,8:36:13 AM,8:37:03 AM,50,TRUE
15,1/1/2021,15,8:43:28 AM,8:43:28 AM,8:55:37 AM,729,TRUE
16,1/1/2021,16,8:43:59 AM,8:43:59 AM,8:48:30 AM,272,TRUE
17,1/1/2021,17,8:46:05 AM,8:46:05 AM,8:56:29 AM,624,TRUE
18,1/1/2021,18,8:47:27 AM,8:47:27 AM,8:47:39 AM,13,TRUE
19,1/1/2021,19,8:53:59 AM,8:53:59 AM,9:16:07 AM,1328,TRUE
20,1/1/2021,20,8:54:33 AM,8:54:33 AM,9:28:35 AM,2043,TRUE
21,1/1/2021,21,9:00:35 AM,9:00:35 AM,9:01:15 AM,40,TRUE
22,1/1/2021,22,9:09:18 AM,9:09:18 AM,9:12:57 AM,218,TRUE
23,1/1/2021,23,9:12:34 AM,9:12:34 AM,9:14:05 AM,92,TRUE
24,1/1/2021,24,9:14:45 AM,9:14:45 AM,9:19:40 AM,296,TRUE
25,1/1/2021,25,9:23:00 AM,9:23:00 AM,9:31:16 AM,496,TRUE
26,1/1/2021,26,9:36:29 AM,9:36:29 AM,9:44:42 AM,493,TRUE
27,1/1/2021,27,9:48:44 AM,9:48:44 AM,9:56:56 AM,492,TRUE
28,1/1/2021,28,9:52:07 AM,9:52:07 AM,9:58:40 AM,392,TRUE
29,1/1/2021,29,9:56:33 AM,9:56:33 AM,10:00:16 AM,223,TRUE
30,1/1/2021,30,9:58:28 AM,9:58:28 AM,10:03:56 AM,327,TRUE
31,1/1/2021,31,10:01:19 AM,10:01:19 AM,10:12:10 AM,651,TRUE
32,1/1/2021,32,10:01:28 AM,10:01:28 AM,10:05:07 AM,219,TRUE
33,1/1/2021,33,10:03:34 AM,10:03:34 AM,10:09:53 AM,379,TRUE
34,1/1/2021,34,10:04:41 AM,10:04:41 AM,10:08:06 AM,205,TRUE
35,1/1/2021,35,10:12:53 AM,10:12:53 AM,10:19:18 AM,385,TRUE
36,1/1/2021,36,10:12:53 AM,10:12:53 AM,10:19:02 AM,369,TRUE
37,1/1/2021,37,10:27:25 AM,10:27:25 AM,10:31:54 AM,269,TRUE
38,1/1/2021,38,10:43:06 AM,10:43:06 AM,10:52:18 AM,551,TRUE
39,1/1/2021,39,10:50:34 AM,10:50:34 AM,10:53:17 AM,164,TRUE
40,1/1/2021,40,10:58:55 AM,10:58:55 AM,11:00:00 AM,65,TRUE
41,1/1/2021,41,11:04:30 AM,11:04:30 AM,11:05:44 AM,73,TRUE
42,1/1/2021,42,11:08:13 AM,11:08:13 AM,11:09:58 AM,105,TRUE
43,1/1/2021,43,11:10:56 AM,11:10:56 AM,11:14:47 AM,231,TRUE
44,1/1/2021,44,11:16:01 AM,11:16:01 AM,11:16:27 AM,25,TRUE
45,1/1/2021,45,11:18:59 AM,11:18:59 AM,11:20:16 AM,77,TRUE
46,1/1/2021,46,11:22:36 AM,11:22:36 AM,11:30:47 AM,491,TRUE
47,1/1/2021,47,11:24:51 AM,11:24:51 AM,11:25:56 AM,65,TRUE
48,1/1/2021,48,11:28:33 AM,11:28:33 AM,11:29:34 AM,62,TRUE
49,1/1/2021,49,11:28:40 AM,11:28:40 AM,11:30:51 AM,131,TRUE
50,1/1/2021,50,11:31:57 AM,11:31:57 AM,11:33:55 AM,118,TRUE
51,1/1/2021,51,11:36:07 AM,11:36:07 AM,11:42:25 AM,378,TRUE
52,1/1/2021,52,11:36:19 AM,11:36:19 AM,11:43:54 AM,455,TRUE
53,1/1/2021,53,11:37:49 AM,11:37:49 AM,11:37:54 AM,5,TRUE
54,1/1/2021,54,11:42:18 AM,11:42:18 AM,11:50:03 AM,465,TRUE
55,1/1/2021,55,11:45:03 AM,11:45:03 AM,11:46:41 AM,98,TRUE
56,1/1/2021,56,11:45:21 AM,11:45:21 AM,11:49:13 AM,232,TRUE
57,1/1/2021,57,11:49:05 AM,11:49:05 AM,11:57:05 AM,480,TRUE
58,1/1/2021,58,11:55:09 AM,11:55:09 AM,11:57:51 AM,162,TRUE
59,1/1/2021,59,11:56:45 AM,11:56:45 AM,12:05:17 PM,512,TRUE
60,1/1/2021,60,11:59:48 AM,11:59:48 AM,12:03:24 PM,216,TRUE
61,1/1/2021,61,12:03:57 PM,12:03:57 PM,12:08:34 PM,277,TRUE
62,1/1/2021,62,12:08:13 PM,12:08:13 PM,12:08:16 PM,3,TRUE
63,1/1/2021,63,12:14:28 PM,12:14:28 PM,12:17:11 PM,163,TRUE
64,1/1/2021,64,12:14:59 PM,12:14:59 PM,12:24:06 PM,547,TRUE
65,1/1/2021,65,12:16:43 PM,12:16:43 PM,12:17:08 PM,25,TRUE
66,1/1/2021,66,12:26:38 PM,12:26:38 PM,12:27:16 PM,38,TRUE
67,1/1/2021,67,12:28:23 PM,12:28:23 PM,12:43:14 PM,891,TRUE
68,1/1/2021,68,12:32:14 PM,12:32:14 PM,12:32:17 PM,3,TRUE
69,1/1/2021,69,12:42:19 PM,12:42:19 PM,12:44:44 PM,146,TRUE
70,1/1/2021,70,12:42:29 PM,12:42:29 PM,12:51:57 PM,569,TRUE
71,1/1/2021,71,12:44:03 PM,12:44:03 PM,12:48:28 PM,264,TRUE
72,1/1/2021,72,12:47:27 PM,12:47:27 PM,12:52:17 PM,289,TRUE
73,1/1/2021,73,12:48:54 PM,12:48:54 PM,12:50:02 PM,68,TRUE
74,1/1/2021,74,12:52:00 PM,12:52:00 PM,12:54:17 PM,137,TRUE
75,1/1/2021,75,12:55:42 PM,12:55:42 PM,1:00:34 PM,292,TRUE
76,1/1/2021,76,12:56:38 PM,12:56:38 PM,1:04:20 PM,462,TRUE
77,1/1/2021,77,1:03:51 PM,1:03:51 PM,1:17:49 PM,837,TRUE
78,1/1/2021,78,1:07:29 PM,1:07:29 PM,1:08:45 PM,76,TRUE
79,1/1/2021,79,1:10:32 PM,1:10:32 PM,1:11:14 PM,42,TRUE
80,1/1/2021,80,1:15:42 PM,1:15:42 PM,1:19:51 PM,249,TRUE
81,1/1/2021,81,1:26:19 PM,1:26:19 PM,1:49:23 PM,1384,TRUE
82,1/1/2021,82,1:32:14 PM,1:32:14 PM,1:39:07 PM,414,TRUE
